Besoldungsgruppe,Amtsbezeichnung,Zusatz
B2,Direktorin/Direktor,beim Bundesamt für das Personalmanagement der Bundeswehr
B2,Direktorin/Direktor,beim Bundesamt für den militärischen Abschirmdienst
B2,Direktorin/Direktor,"beim Bundesamt für Infrastruktur, Umweltschutz und Dienstleistungen der Bundeswehr"
B2,Direktorin/Direktor,beim Bundeseisenbahnvermögen 
B2,Direktorin/Direktor,beim Evangelischen Kirchenamt für die Bundeswehr
B2,Direktorin/Direktor,beim Katholischen Militärbischofsamt
B2,Direktorin/Direktor,beim Marinearsenal
B2,Direktorin/Direktor,eines Rechtsberaterzentrums der Bundeswehr
B2,Direktorin/Direktor,in der Bundesfernstraßenverwaltung
B2,Direktorin und Professorin/Direktor und Professor,beim ORG
B2,Direktorin und Professorin/Direktor und Professor,bei der ORG
B2,Direktorin und Professorin/Direktor und Professor,bei der Bundesagentur für Arbeit
B2,Direktorin und Professorin/Direktor und Professor,des Deutschen Zentrums für Schienenverkehrsforschung
B2,Vizepräsidentin/Vizepräsident,
B3,Direktorin/Direktor,als Beauftragte für die Netze des Bundes/als Beauftragter für die Netze des Bundes
B3,Direktorin/Direktor,beim ORG
B3,Direktorin/Direktor,bei der ORG
B3,Direktorin/Direktor,bei der Bundesagentur für Arbeit
B3,Direktorin/Direktor,bei der Bundesakademie für öffentliche Verwaltung
B3,Direktorin/Direktor,bei der Bundesanstalt für Immobilienaufgaben
B3,Direktorin/Direktor,"bei der Bundesnetzagentur für Elektrizität, Gas, Telekommunikation, Post und Eisenbahnen"
B3,Direktorin/Direktor,bei der Deutschen Nationalbibliothek
B3,Direktorin/Direktor,bei der Führungsakademie der Bundeswehr
B3,Direktorin/Direktor,bei der Unfallversicherung Bund und Bahn
B3,Direktorin/Direktor,beim Befehlshaber des Einsatzführungskommandos der Bundeswehr
B3,Direktorin/Direktor,beim Befehlshaber des Multinational Joint Headquarters
B3,Direktorin/Direktor,beim Bildungszentrum der Bundeswehr
B3,Direktorin/Direktor,"beim Bundesamt für Ausrüstung, Informationstechnik und Nutzung der Bundeswehr"
B3,Direktorin/Direktor,beim Bundesinstitut für Berufsbildung
B3,Direktorin/Direktor,beim Bundesnachrichtendienst
B3,Direktorin/Direktor,beim Inspekteur einer Teilstreitkraft oder eines militärischen Organisationsbereichs
B3,Direktorin/Direktor,beim Luftfahrtamt der Bundeswehr
